Plant_Species
"Anise seed 1 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise seed 2 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise seed 3 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Anise seed 4 - Pimpinella anisum L., fam. Apiaceae (Umbelliferae)"
"Annona senegalensis fruit (Cameroon) - Annona senegalensis Pers., fam. Annonaceae"
"Annona squamosa leaf - Annona squamosa L., fam. Annonaceae (sweetsop or custard apple)"
"Annona squamosa root - Annona squamosa L., fam. Annonaceae (sweetsop or custard apple)"
"Annual wormwood (China) 1 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (China) 2a - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (China) 2b - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (Finland) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (France) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (Hungary) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (India) 1 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (India) 2 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (Italy) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (Mongolia) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (USA, Oregon) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (Vietnam) 1 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (Vietnam) 2a - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood (Vietnam) 2b - Annua artemisia L., fam. Asteraceae (Compositae)"
"Annual wormwood (Yugoslavia) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood 1 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood 2 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood, flower (U.S.A., Indiana) - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood, leaf (U.S.A., Indiana) 1 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Annual wormwood, leaf (U.S.A., Indiana) 2 - Artemisia annua L., fam. Asteraceae (Compositae)"
"Anthemis montana (Yugoslavia) - Anthemis montana L., fam. Asteraceae (Compositae)"
"Anthoxanthum odoratum (Italy) 1a fresh leaf - Anthoxanthum odoratum L., fam. Poaceae (Gramineae)"
"Anthoxanthum odoratum (Italy) 1b hay - Anthoxanthum odoratum L., fam. Poaceae (Gramineae)"
"Apple flower - Malus arnoldiana (Rehd) Sarg. var. Redgold, fam. Rosaceae"
"Apricot kernel - Prunus armeniaca L., fam. Rosaceae"
"Argyranthemum adauctum ssp. adauctum - Argyranthemum adauctum ssp.adauctum Humphries, fam.Asteraceae (Compositae)"
"Argyranthemum adauctum ssp. erythrocarpon - Argyranthemum adauctum ssp. erythrocarpon Humphries, fam. Asteraceae"
"Argyranthemum adauctum ssp. gracile - Argyranthemum adauctum ssp.gracile Humphries, fam. Asteraceae (Compositae)"
"Aristolochia asclepiadifolia root - Aristolochia asclepiadifolia, fam. Aristolochiaceae"
"Aristolochia brevipes - Aristolochia brevipes Benth., fam. Aristolochiaceae"
"Aristolochia gibertii leaf - Aristolochia gibertii Hook., fam. Aristolochiaceae"
"Aristolochia gibertii stem - Aristolochia gibertii Hook., fam. Aristolochiaceae"
"Aristolochia gigantea - Aristolochia gigantea M.E. Zucc., fam. Aristolochiaceae"
"Aristolochia impudica leaf - Aristolochia impudica J. Ortega, fam. Aristolochiaceae"
"Aristolochia odoratissima - Aristolochia odoratissima L., fam. Aristolochaceae"
